Course,Section,Date,Time,Room,Updates
SOC103,021,2024-12-04,12:00 EST,ONLINE,No updates
SOC105,011,2024-12-07,13:00 EST,KHW271,No updates
SOC105,021,2024-12-07,13:00 EST,KHW271,No updates
SOC105,031,2024-12-07,13:00 EST,KHW271,No updates
SOC105,041,2024-12-07,13:00 EST,KHW271,No updates
SOC105,051,2024-12-07,13:00 EST,KHW271,No updates
SOC105,061,2024-12-07,13:00 EST,KHW271,No updates
SOC105,071,2024-12-07,13:00 EST,KHW271,No updates
SOC105,081,2024-12-07,13:00 EST,KHW271,No updates
SOC105,091,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,101,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,111,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,121,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,131,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,141,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,151,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,161,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,171,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,181,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,191,2024-12-07,13:00 EST,MAC COURT,No updates
SOC105,201,2024-12-07,13:00 EST,MAC COURT,No updates
SOC202,011,2024-12-06,12:00 EST,MAC COURT,No updates
SOC202,021,2024-12-06,12:00 EST,MAC COURT,No updates
SOC202,031,2024-12-06,12:00 EST,MAC COURT,No updates
SOC202,041,2024-12-06,12:00 EST,ONLINE,No updates
SOC202,051,2024-12-06,12:00 EST,ONLINE,No updates
SOC202,061,2024-12-06,12:00 EST,ONLINE,No updates
SOC300,011,2024-12-14,13:00 EST,ONLINE,No updates
SOC411,011,2024-12-04,08:00 EST,EPH142,No updates
SOC411,021,2024-12-04,08:00 EST,EPH142,No updates
SOC411,031,2024-12-04,08:00 EST,EPH103,No updates
SOC420,011,2024-12-06,12:00 EST,TRS2166,No updates
SOC478,011,2024-12-14,13:00 EST,KHE125,No updates
SOC479,011,2024-12-07,09:00 EST,EPH103,No updates
SOC483,011,2024-12-07,09:00 EST,VIC203,No updates
SOC483,021,2024-12-07,09:00 EST,VIC204,No updates
SOC502,011,2024-12-10,15:00 EST,ONLINE,No updates
SOC503,011,2024-12-06,15:00 EST,ONLINE,No updates
SOC525,011,2024-12-05,15:00 EST,ENGLG24,No updates
SOC603,011,2024-12-08,14:00 EST,ONLINE,No updates
SOC603,021,2024-12-08,14:00 EST,ONLINE,No updates
SOC605,011,2024-12-09,12:00 EST,ONLINE,No updates
SOC633,011,2024-12-13,12:00 EST,ONLINE,No updates
SOC633,031,2024-12-13,12:00 EST,ONLINE,No updates
SOC808,011,2024-12-05,09:00 EST,ONLINE,No updates
SOC808,021,2024-12-05,09:00 EST,ONLINE,No updates
SOC808,051,2024-12-05,09:00 EST,TRS1149,No updates
SOC808,061,2024-12-05,09:00 EST,TRS1147,No updates
SOC902,021,2024-12-08,10:00 EST,MAC COURT,No updates
SOC902,031,2024-12-08,10:00 EST,MAC COURT,No updates
SOC902,041,2024-12-08,10:00 EST,MAC COURT,No updates
SPN101,011,2024-12-06,12:00 EST,TRS1099,No updates
SPN101,021,2024-12-06,12:00 EST,TRS1075,No updates
SPN101,701E,2024-12-06,12:00 EST,KHE321B,No updates
SPN101,711E,2024-12-06,12:00 EST,TRS1073,No updates
SPN101,721E,2024-12-06,12:00 EST,KHE118A,No updates
SPN201,011,2024-12-13,12:00 EST,KHE323,No updates
SPN201,021,2024-12-13,12:00 EST,KHE323,No updates
SPN301,011,2024-12-08,14:00 EST,VIC201,No updates
SPN401,011,2024-12-04,12:00 EST,SHE540,No updates
SPN501,011,2024-12-14,13:00 EST,ONLINE,No updates
